Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
23.18,27.272,426,721.25,0.0047929882,1
23.15,27.2675,429.5,714,0.0047834409,1
23.15,27.245,426,713.5,0.0047794635,1
23.15,27.2,426,708.25,0.0047715088,1
23.1,27.2,426,704.5,0.0047569929,1
23.1,27.2,419,701,0.0047569929,1
23.1,27.2,419,701.6666666667,0.0047569929,1
23.1,27.2,419,699,0.0047569929,1
23.1,27.2,419,689.3333333333,0.0047569929,1
23.075,27.175,419,688,0.0047453507,1
23.075,27.15,419,690.25,0.0047409519,1
23.1,27.1,419,691,0.0047393707,1
23.1,27.1666666667,419,683.5,0.0047511188,1
23.05,27.15,419,687.5,0.0047337318,1
23,27.125,419,686,0.0047149421,1
23,27.125,418.5,680.5,0.0047149421,1
23,27.2,0,681.5,0.0047280779,0
22.945,27.29,0,685,0.0047279514,0
22.945,27.39,0,685,0.0047454084,0
22.89,27.39,0,689,0.0047295062,0
22.89,27.39,0,689.5,0.0047295062,0
22.89,27.39,0,689,0.0047295062,0
22.89,27.445,0,691,0.0047390755,0
22.89,27.5,0,688,0.0047486452,0
22.89,27.5,0,689.5,0.0047486452,0
22.79,27.445,0,689,0.004710224,0
22.79,27.5,0,685.6666666667,0.004719735,0
22.79,27.5,0,687,0.004719735,0
22.79,27.5,0,688,0.004719735,0
22.745,27.5,0,670,0.0047067762,0
22.7,27.4633333333,0,668.6666666667,0.0046875431,0
22.7,27.5,0,670,0.0046938487,0
22.7,27.5,0,667,0.0046938487,0
22.6666666667,27.4266666667,0,664.5,0.0046717078,0
22.7,27.6,0,670,0.0047110465,0
22.6,27.4266666667,0,670.3333333333,0.0046526995,0
22.6,27.39,0,672,0.0046464328,0
22.6,27.3566666667,0,658,0.004640736,0
22.6,27.445,0,660.5,0.0046558328,0
22.6,27.4266666667,0,658,0.0046526995,0
22.6,27.445,0,655,0.0046558328,0
22.6,27.445,0,654.25,0.0046558328,0
22.6,27.39,0,648,0.0046464328,0
22.5,27.3233333333,0,648.6666666667,0.0046067632,0
22.5,27.445,0,646,0.004627429,0
22.5,27.5,0,646,0.0046367716,0
22.5,27.445,0,641.5,0.004627429,0
22.39,27.29,0,639,0.0045702121,0
22.5,27.5,0,640,0.0046367716,0
22.39,27.34,0,630.5,0.0045786471,0
22.39,27.3566666667,0,629.3333333333,0.0045814589,0
